trial_index,trial_time,response_arrow_start_angle,motion_direction,motion_coherence,estimate_x,estimate_y,reaction_time,raw_response_time,prior_std,prior_mean,subject_id,experiment_name,experiment_id,session_id,run_id
1,0,NaN,225,0.12,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
2,2.73073000001023,NaN,225,0.12,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
3,4.91395000001648,NaN,235,0.06,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
4,6.99729600001592,NaN,225,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
5,9.0971300000092,NaN,215,0.24,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
6,11.0303940000013,NaN,205,0.24,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
7,13.0803690000321,NaN,235,0.06,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
8,15.1468549999991,NaN,215,0.12,-1.91921272143954,-1.60206820387418,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
9,17.1635799999931,NaN,225,0.12,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
10,19.4967230000184,NaN,225,0.12,-1.40172922568908,-2.07006163624397,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
11,21.9966410000343,NaN,225,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
12,24.0801520000095,NaN,235,0.12,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
13,26.0797740000417,NaN,225,0.24,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
14,28.2297160000307,NaN,225,0.06,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
15,30.3129680000129,NaN,215,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
16,32.3961830000044,NaN,225,0.12,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
17,34.4628610000364,NaN,245,0.06,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
18,36.5960020000348,NaN,225,0.06,-1.7136238429726,-1.82030033917368,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
19,38.5793030000059,NaN,225,0.12,-1.81969274663383,-1.71426903018407,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
20,40.7124889999977,NaN,235,0.06,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
21,42.7961230000365,NaN,215,0.12,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
22,44.77895300003,NaN,215,0.06,-1.85361191517298,-1.67753475908213,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
23,46.7122519999975,NaN,215,0.24,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
24,48.7455440000049,NaN,215,0.12,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
25,50.8287739999942,NaN,225,0.12,-1.56267442609889,-1.951422209061,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
26,52.728581000003,NaN,235,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
27,54.6452920000302,NaN,235,0.06,-1.48338837837703,-2.01235158928452,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
28,56.6952070000116,NaN,225,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
29,58.6449790000333,NaN,225,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
30,60.6116200000397,NaN,235,0.24,-1.52333605929438,-1.98228334262624,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
31,62.5115750000114,NaN,225,0.06,-0.962530205304035,-2.3072788309776,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
32,64.3948830000008,NaN,225,0.06,-1.60138774396834,-1.91978053263074,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
33,66.294728000008,NaN,225,0.06,-1.74968470939291,-1.78566609916766,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
34,68.3113580000354,NaN,215,0.12,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
35,70.3612560000038,NaN,245,0.06,-1.88678966366056,-1.6401294964434,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
36,72.3778170000296,NaN,225,0.06,-1.63946052809175,-1.88737096958417,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
37,74.2945080000209,NaN,225,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
38,76.6610260000452,NaN,215,0.06,-1.67687754986311,-1.85420648331438,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
39,78.7275980000268,NaN,235,0.06,-1.78504572525827,-1.75031761653054,NaN,NaN,10,225,1,data01_direction4priors,11,1,1
